"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
287,Vidzemes apgabaltiesa,Vidzeme Regional Court,0,15,13
288,Rigas pilsetas Ziemelu rajona tiesa,Northern District Court of Riga,0,15,13
289,Vrchni soud v Praze,VS Praze,0,22,20
290,Mestsky soud v Praze,MS Praze,0,22,20
291,Okresni soud Trencin,Trencin Regional Court,0,22,20
292,Sodba Visjega sodisca v Celju,HC Celje,0,23,21
293,Judecatoria Craiova,JC,0,21,19
294,Tribunalul Timis,Trib. Timis,0,21,19
295,Tribunalul Gorj,Trib. Gorj,0,21,19
296,Tribunalul Vrancea,Trib. Vranceau,0,21,19
297,Tribunalul Arad,Trib. Arad,0,21,19
298,Tribunalul Neamt,Trib. Neamt,0,21,19
299,Sofia City Court,Sofia CC,0,29,57
300,Sofia Court of Appeal,Sofia CA,0,29,57
301,Plovdiv Court of Appeal,Plovdiv CA,0,29,57
302,Ruse District Court,Ruse DC,0,29,57
303,Zupanijskog suda u Zadru,County Court in Zadar,0,32,60
304,Zupanijskog suda u Slavonskom Brodu,County Court in Slavonski Brod,0,32,60
305,Županijskog suda u Splitu,County Court in Split,0,32,60
306,Presuda Županiskog suda u Rijeci,County Court in Rijeka,0,32,60
307,Presuda Županijskog suda u Osijeku,County Court in Osijek,0,32,60
308,Justice of Peace of Chania,JP Chania,0,10,9
309,European Court of Human Rights,ECtHR,0,20,18
310,Athens Justice of Peace,JP Athens,0,10,9
311,Chania Court of Appeal,CA Chania,0,10,9
312,Tribunal de Grande Instance (Court of First Instance) Liege,CFI Liege,0,2,2
313,Tribunal de Grande Instance (Court of First Instance) Marche-en-Famenne,CFI Marche-en-Famenne,0,2,2
314,Police Judge Bruges,Pol Bruges,0,2,2
315,Court of Appeal in Krakow,CA Krakow,0,19,17
316,Vrchni soud v Praze (High Court in Prague),HC Prague,0,22,20
317,Court of First Instance,CFI,0,6,63
318,Corte di Appello di Genova (Court of Appeal of Genoa),CA Genoa,0,14,12
319,Stavanger byrett (Stavanger District Court),Stavanger DC,0,18,16
320,Eidsivating Lagmannsrett (Eidsivating Appeal Court),Eidsivating AC,0,18,16
321,Šiaulių apygardos teismas (Šiauliai District Court),Šiauliai DC,0,16,14
322,Nejvyšší soud České republiky (Supreme Court of the Czech Republic),NS ČR,0,22,20
323,Curtea de Apel București (Court of Appeal of Bucharest),CA Bucharest,0,21,19
324,Županijskog suda u Varaždinu,County Court in Varaždin,0,32,60
325,Županijskog suda u Sisaku,County Court in Sisak,0,32,60
326,Administrative Court of First Instance,Administrative Court of First Instance,0,10,9
