"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
1524,157,144
1525,157,181
1526,157,187
1527,157,208
1528,157,209
1529,158,32
1530,158,181
1531,158,187
1532,158,193
1533,158,197
1534,158,209
1535,159,234
1536,159,242
1537,159,69
1538,159,105
1539,159,168
1541,160,193
1542,160,152
1543,160,102
1544,160,242
1545,160,69
1546,157,21
1547,157,240
1548,161,213
1549,161,220
1550,161,242
1551,161,69
1552,161,152
1553,161,115
1554,161,214
1555,162,238
1556,162,233
1557,162,32
1558,162,111
1559,162,115
1560,162,133
1561,162,148
1562,162,209
1563,163,217
1564,163,103
1565,163,220
1566,163,111
1567,163,214
1568,163,149
1569,163,176
1570,164,84
1571,164,87
1572,164,215
1573,164,103
1574,164,152
1575,165,32
1576,165,237
1577,165,213
1578,165,135
1579,165,142
1580,165,174
1581,165,209
1582,166,208
1583,166,233
1584,166,142
1585,166,187
1586,166,97
1587,166,99
1588,166,100
1589,167,242
1590,167,69
1591,167,90
1592,167,102
1593,167,152
1595,168,111
1596,168,121
1597,168,151
1598,168,152
1599,169,111
1600,169,32
1601,170,32
1602,170,231
1603,170,97
1604,170,226
1605,170,228
1606,170,187
1607,170,198
1608,171,226
1609,171,210
1610,171,211
1611,171,126
1612,171,174
1614,168,84
1615,172,168
1616,172,84
1617,173,81
1618,173,111
1619,174,214
1620,174,119
1621,174,86
1622,174,151
1623,174,154
1624,174,156
1625,174,174
1626,137,175
1627,175,106
1628,175,107
1629,175,210
1630,175,211
1631,175,168
1632,176,233
1633,176,215
1634,176,103
1635,176,176
1636,174,240
1637,177,218
1638,177,233
1639,177,222
1640,177,240
1641,178,142
1642,178,194
1643,178,208
1644,178,187
1645,179,32
1646,179,187
1647,179,196
1648,179,198
1649,179,209
1650,180,32
1651,180,233
1652,180,238
1653,180,82
1654,180,122
1655,180,127
1656,180,133
1657,180,148
1658,180,149
1659,180,150
1660,180,209
1661,181,83
1662,181,214
1663,182,158
1664,182,214
1665,182,240
1666,183,214
1667,183,165
1668,184,69
1669,184,76
1670,184,95
1671,184,96
1672,184,220
1673,184,176
1674,185,69
1675,185,106
1676,185,214
1677,186,156
1678,187,111
1679,187,100
1680,188,70
1681,188,211
1682,189,69
1683,189,70
1684,189,223
1685,189,242
1686,190,99
1687,190,214
1688,190,155
1689,191,81
1690,191,150
1691,191,189
1692,192,243
1693,192,244
1694,192,86
1695,192,119
1696,192,151
1697,192,156
1698,193,111
1699,193,138
1700,193,140
1701,193,104
1702,193,156
1703,194,77
1704,194,238
1705,194,133
1706,194,113
1707,194,148
1708,195,149
1709,195,127
1710,195,119
1711,196,158
1712,196,119
1713,196,97
1714,197,103
1715,199,85
1716,200,85
1717,201,158
1718,201,84
1719,201,210
1720,201,211
1721,202,213
1722,202,119
1723,202,150
1724,198,189
1725,198,209
1726,203,81
1727,203,158
1728,204,158
1729,206,222
1730,206,79
1731,207,97
1732,207,216
1733,208,158
